base,synonyms
iran khodro,"iran khodro,иран кходро,иран ходро,iran khodro,iran hodro"
isuzu,"isuzu,исузу,isuzu"
iveco,"iveco,ивеко,iveko"
jac,"jac,джак,жак,dzhak,zhak"
jaecoo,"jaecoo,джако,жако,dzhako,zhako"
jaguar,"jaguar,ягуар,джаг,yaguar,dzhag"
jetour,"jetour,джетур,жетур,dzhetur,zhetur"
jetta,"jetta,джетта,джета,dzhetta,dzheta"
kaiyi,"kaiyi,каии,кайи,kaii,kayi"
kamaz,"kamaz,камаз,kamaz"
kg mobility,"kg mobility,кг мобилити,кейджи мобилити,kg mobiliti,keidji mobiliti"
kia,"kia,киа,kia"
carnival,"карнивал,karnival"
Sportage,"спортэйдж,sporteydzh,спортаж,sportazh"


lada,"lada,лада,ваз,lada,vaz"
lamborghini,"lamborghini,ламборджини,ламборгини,lambordzhini,lamborgini"
lancia,"lancia,ланча,lanchia,lantsiya,ланция,lancha"

Land Rover,"ленд ровер,лэнд ровер,лендровер,лэндровер,land rover,landrover,lend rover,lendrover"
land,"ленд,лэнд,lend,land"
rover,"ровер,rover"
Evoque,"эвок,evok"
Range,"рэйндж,reyndzh"


ldv,"ldv,лдв,элдиви,ldv,eldivi"
lexus,"lexus,лексус,лексу́с,leksus,leksús"
lifan,"lifan,лифан,lifan"
lincoln,"lincoln,линкольн,lincoln,linkoln"
lixiang,"lixiang,ликсианг,лисян,liksiang,lisyan"
lotus,"lotus,лотос,ло́тус,lotos,lótus"
lucid,"lucid,люсид,лусид,lyusid,lusid"
lynk & co,"lynk & co,линк энд ко,линк ко,link end ko,link ko,link end ko"
man,"man,ман,man"
maserati,"maserati,мазерати,мазе́рати,mazerati,mazérati"
maybach,"maybach,майбах,maybah,maybah"
mazda,"mazda,мазда,mazda"
mclaren,"mclaren,макларен,maklaren"
mercedes-benz,"mercedes-benz,мерседес,мерс,мериндос,merindos,мерин,mercedes-benz,mers,merin,мерседес,mersedes"
mg,"mg,эмджи,мг,emdzhi,mg"
mini,"mini,мини,миник,mini,minik"
mitsubishi,"mitsubishi,митсубиси,мицубиси,mitsubisi,micubisi,митсубиши,mittsubisi,mittsubishi,митцубиси,митцубиши,митцуба,mittsuba"
neoplan,"neoplan,неоплан,neoplan"
nio,"nio,нио,nio"
nissan,"nissan,ниссан,нисан,nissan,nisan"
qashqai,"кашкай,kashkay,кошак,koshak"
x-trail,"x-trail,x trail,xtrail,х трейл,х трэил,икс-трейл,икстрейл,икстрэйл,h trail,h treil"

omoda,"omoda,омода,omoda"
opel,"opel,опель,opel"
ora,"ora,ора,ora"
peugeot,"peugeot,пежо,пыжик,pezho,pezhik,pyzhik,пыж,pyzh"
polar stone,"polar stone,полар стоун,polar stoun"
stone,"стоун,stoun"
polestar,"polestar,полестар,полстар,polestar,polstar"
pontiac,"pontiac,понтиак,pontiak"
porsche,"porsche,порше,порш,porshe,porsh"
qoros,"qoros,корос,koros"
ravon,"ravon,равон,ravon"
renault,"renault,reno,рено,реношка,ренёшка,reneshka,renoshka"
rivian,"rivian,ривиан,rivian"

rolls-royce,"rolls-royce,ролс ройс,роллс ройс,ролс-ройс,rolls-roys,rols-roys,rolls roys,ролс"
rolls,"ролс,rols"
royce,"roys,ройс"

rover,"rover,ровер,ро́вер,rover,róver"
saab,"saab,сааб,saab"
saipa,"saipa,саипа,сайпа,saipa,saipa,saypa"
samsung,"samsung,самсунг,samsung"
scania,"scania,скания,сканиа,skaniya,skania"
seat,"seat,сеат,сит,seat,sit"

seres,"seres,серес,seres"

Skoda,"шкода,shkoda,skoda"
Kushaq,"кушак,kushak"
Karoq,"карок,karok"
Kodiaq,"кодиак,kodiak"

skywell,"skywell,скайвелл,скайвел,skayvell,skayvel"
smart,"smart,смарт,smart"
solaris,"solaris,соларис,solaris"
sollers,"sollers,соллерс,sollers"
soueast,"soueast,соуист,souist"
ssangyong,"ssangyong,ссангйонг,сангён,ssangjon,saengyon"
subaru,"subaru,субару,subaru"
suzuki,"suzuki,сузуки,suzuki"
swm,"swm,свм,эсдаблъюэм,svm,esdablyuem"
tagaz,"tagaz,тагаз,tagaz"
tank,"tank,танк,tank"
tesla,"tesla,тесла,теслик,tesla,teslik"
toyota,"toyota,тойота,тоёта,тойта,тойтота,toyta,toytota"
Aqua,"аква,akva"
Esquire,"есквайр,eskvayr"
Sequoia,"секвойя,sekvoyya"


uaz,"uaz,уаз,уазик,uaz,uazik"
volkswagen,"volkswagen,фольксваген,vw,folksvagen,фолик,folik"
volvo,"volvo,вольво,volvo"
vortex,"vortex,вортекс,vortex,vorteks"
voyah,"voyah,воях,voyah"
weltmeister,"weltmeister,вельтмайстер,weltmajster,veltmayster"
wey,"wey,вей,wey"

XCITE,"xcite,иксайт,иксит,ksits,ksits,xsites,iksits,xcities,iksayt,iksit"

xiaomi,"xiaomi,сяоми,syaomi,ksyaomi,ксяоми"
xpeng,"xpeng,ксипенг,ksipeng"
zaz,"zaz,заз,запорожец,zaz,zaporozhec"
zeekr,"zeekr,зикр,zikr"
zotye,"zotye,зоти,zoti"
zx auto,"zx auto,зет икс ауто,зед икс ауто,zet iks auto,zed iks auto"
moskvich,"москвич,moskvich,москвичара,moskvichara,москвичёнок,moskvichyonok"
octavia,"octavia,октавия,oktaviya"
Tavascan,"таваскан,tavaskan"
Docker,"докер,doker" 
Express,"експресс,ekspress,експрес,ekspres"
charade,"чараде,"
caliber,"калибр,kalibr"
caravan,"караван,karavan"
challenger,"челенджер,chelendzher"
charger,"чарджер,chardzher"
crossback,"кроссбэк,krossbek,кросбэк,krosbek"
cargo,"карго,kargo"
Ducato,"дукато,dukato" 
Russia,"россия,rossiya"
Fullback,"fullbek,фуллбек"
Scudo,"скудо,skudo"
Ecosport,"экоспорт,ekosport"
Edge,"едж,edzh"
Escape,"ескейп,eskeyp"
Excursion,"екскурсион,ekskursion"
Focus,"фокус,fokus"
Maverick,"маверик,maverik"
Tourneo,"турне,turne,турнео,turneo"
Transit,"транзит,tranzit"
connect,"коннект,konnekt"
Vision,"вижн,vizhn,визион,vizion,висион,vizion"
Preface,"префейс,prefeys"
Acadia,"акадия,akadiya"
chitu,"читу,chitu"
Accord,"аккорд,akkord,акорд,akord"
civic,"сивик,sivik"
crosstour,"кросстур,krosstur"
Accent,"ацент,atsent"
creta,"крета,kreta"
cruz,"круз,kruz"
Tucson,"tukson,туксон,туссон,tusson"
cherokee,"черокки,cherokki,чероки,cheroki"
commander,"коммандер,kommander,командер,komander"
compass,"компасс,kompass"
carens,"каренс,karens"
carnival,"карнивал,karnival"
ceed,"сид,sid,сиид,siid"
cerato,"серато,serato,церато,tserato,цирато,tsirato"
clarus,"кларус,klarus"
Joice,"джойс,dzhoys"
Picanto,"пиканто,pikanto"
Spectra,"спектра,spektra"
cLK,"слк,цлк,slk,tslk"
cLA,"цла,tsla"
cLs,"цлс,tsls"
Benz,",бенц,bents"
cooper,"купер,kuper"
carisma,"каризма,харизма,karizma,harizma"
colt,"кольт,kolt"
Eclipse,"эклипс,eklips"
Lancer,"ланцер,лансер,lantser,lanser"
Outlander,"аутлендер,autlender,оутлендер,outlender"
Pajero,"паджеро,padzhero,пажеро,pazhero"
Space,"спейс,speys"
cabstar,"кабстар,kabstar"
cube,"куб,кьюб,kub,kyub"
Micra,"микра,mikra"
combo,"комбо,kombo"
corsa,"корса,korsa"
Macan,"макан,makan"
captur,"каптюр,kaptyur"
clio,"клио,klio"
Fluence,"флюенц,flyuents"
Scenic,"сценик,stsenik,ценик,tsenik"
Trafic,"трафик,trafik"
Felicia,"фелиция,felitsiya"
crosstrek,"кросстрек,krosstrek"
Outback,"аутбэк,autbek"
Across,"акросс,akross,акрос,akros"
celica,"селика,selika"
corolla,"королла,korolla,корола,korola"
Echo,"ехо,eho"
Hilux,"хайлюкс,haylyuks,хилюкс,hilyuks" 
cruiser,"крузер,крузак,kruzer,kruzak"
Picnic,"пикник,piknik"
Tacoma,"такома,takoma"
california,"калифорния,kaliforniya"
cc,"tsts,цц"
Galaxy,"гелекси,geleksi,галакси,galaksi"
solaris,"солярис,solyaris"
XRAy,"иксрей,iksrey"
Discovery,"дискавери,diskaveri"
Skyline,"скайлайн,skaylayn"
cayman,"кайман,kayman"
Taycan,"тайкан,taykan"
cayenne,"кайен,kayen"
Symbol,"симбол,simbol"
Legacy,"легаси,legasi"
Jimny,"Джимни,dzhimni"
camry,"камри,kamri"
yaris,"ярис,yaris"
winstorm,"винсторм,vinstorm"
wingle,"вингл,vingl"
wrangler,"вранглер,vrangler"
classic,"классик,klassik"
Twingo,"твинго,tvingo"


